company,education,experience,location,position,salary
芸品绿,硕士,1-3年,北京,数据挖掘工程师,25k-50k
灵硅科技,大专,3-5年,北京,渠道经理,10k-20k
网易乐得,博士,不限,北京,机器学习,20k-35k
大圣互动,本科,1-3年,北京,大数据开发,15k-30k
人人有信,本科,3-5年,北京,算法数据挖掘机器学习深度学习,20k-40k
科莱普云,硕士,1-3年,北京,图像算法研发工程师,15k-30k
北京中科睿芯科技...,硕士,不限,北京,人工智能方向高级研究人员,9k-10k
到家美食会,本科,5-10年,北京,大数据开发工程师,25k-40k
到家美食会,硕士,5-10年,北京,数据挖掘算法工程师,30k-50k
正和思齐,不限,不限,北京,研发实习（机器学习方向）,3k-6k
一号车网,本科,3-5年,北京,大数据开发工程师,20k-35k
茄子快传,本科,3-5年,北京,推荐系统后台研发工程师,30k-50k
华为,本科,3-5年,北京,安全产品开发,15k-30k
去哪儿,本科,3-5年,北京,数据挖掘,20k-40k
今日头条,本科,1-3年,北京,图像识别研发工程师,25k-50k
堆氧,本科,5-10年,北京,财务邮件系统信息技术部/技术总监,70k-100k
视感科技,硕士,3-5年,北京,音频算法工程师（音乐方向）,20k-35k
水滴成海,本科,不限,北京,算法推荐工程师,20k-35k
知乎,本科,5-10年,北京,资深数据仓库开发,38k-48k
今日头条,本科,不限,北京,推荐算法实习生,8k-10k
滴滴出行,硕士,5-10年,北京,视频识别算法专家,40k-41k
滴滴出行,硕士,5-10年,北京,安全算法专家,40k-41k
滴滴出行,硕士,5-10年,北京,资深算法专家,40k-41k
汉能控股集团,硕士,1-3年,北京,算法工程师,20k-40k
京东集团,本科,5-10年,北京,Java,20k-40k
滴滴出行,硕士,10年以上,北京,首席算法工程师,60k-70k
汉能控股集团,博士,5-10年,北京,数据科学家,30k-60k
汉能控股集团,本科,5-10年,北京,人工智能专家,25k-50k
百度,本科,1年以内,北京,自然语言处理/机器学习算法工程师,15k-30k
思源互联科技,本科,3-5年,北京,大数据开发工程师,20k-40k
阿里巴巴集团,硕士,1-3年,北京,安全部-高级策略/模型专家,20k-40k
北京京东科技,本科,不限,北京,算法工程师,20k-40k
金睛云华,本科,3-5年,北京,高级Java工程师(安全方向),15k-30k
悉见,硕士,3-5年,北京,资深算法工程师（机器学习）,30k-50k
品友互动,本科,1-3年,北京,机器学习,10k-20k
创新工场,硕士,1-3年,北京,售前顾问/经理/总监,20k-40k
爱奇艺,本科,1-3年,北京,高级工程师,20k-35k
天机数据,硕士,不限,北京,算法工程师,15k-30k
北京冠鼎科技有限公司,本科,5-10年,北京,技术总监,25k-50k
小米,本科,1-3年,北京,大数据研发工程师,10k-20k
文思海辉集团,本科,3-5年,北京,中级Java开发工程师,10k-12k
一亩田,本科,不限,北京,Python实习生,3k-6k
一亩田,本科,不限,北京,python开发工程师,18k-25k
麦达数字(北京),本科,3-5年,北京,大数据机器学习工程师,20k-40k
健康界,本科,3-5年,北京,推荐算法工程师,20k-30k
京东集团,本科,3-5年,北京,数据产品经理 - 仓配算法应用,20k-35k
Yi+,本科,5-10年,北京,深度学习专家,40k-80k
凡普金科,本科,5-10年,北京,模型分析师,30k-60k
荣之联科技,本科,5-10年,北京,资深NLP算法工程师,30k-45k
新浪微博,硕士,1-3年,北京,推荐算法工程师,30k-45k
赞同科技,本科,1-3年,北京,机器学习 ai,15k-30k
京东金融,本科,3-5年,北京,高级java开发工程师/架构师,20k-40k
今日头条,本科,3-5年,北京,数据挖掘算法工程师 - 反作弊方向,25k-50k
Geek+,本科,应届生,北京,系统研发部-数据算法实习生,5k-7k
阿里云,本科,5-10年,北京,SA解决方案架构师,25k-35k
360金融,本科,3-5年,北京,算法工程师-NPL,30k-50k
浩然五洲软件,本科,1-3年,北京,数据分析,9k-15k
京东集团,博士,5-10年,北京,预测算法科学家,60k-120k
小狗机器人,本科,5-10年,北京,测试总监,30k-55k
